idEquipa,nome
1,N/A
2,Sporting
3,Benfica
4,Braga
5,Altis
6,"Racers Track Club"
7,Nike
8,"Athlétique Sport Aixois"
9,Adidas
10,Puma
11,"GS Pétroliers"
12,"Oregon Ducks"
13,"New Balance"
14,"NewHam and Essex Beagles"
15,"United States Army"
16,"Mesfin Industrial Engineering"
17,"Kenya Police"
18,"MVP Track & Field Club"
19,"Seiko AC"
20,"Mizuno Track Club"
21,"Nippon Life"
22,Asics
23,Kingston
24,"AKAN Track Club"
25,"St. Louis Battlehawks"
26,"Clube Oriental de Pechão"
27,"Fenerbahçe Athletics"
28,"Papa Léguas"
